date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:28:58	29409/29409	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:28:58%20GMT	https://github.com/Soundnode/soundnode-app/network	d:/Meus%20Sites/Jekyll-br/github.com/Soundnode/soundnode-app/network.html	(from https://github.com/explore)
22:28:59	5957/5957	---M--	200	added ('OK')	image/png	date:Sat,%2001%20Jan%202000%2000:00:00%20GMT	https://assets-cdn.github.com/images/icons/emoji/unicode/2601.png	d:/Meus%20Sites/Jekyll-br/assets-cdn.github.com/images/icons/emoji/unicode/2601.png	(from https://github.com/explore)
22:28:59	92181/92181	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:28:58%20GMT	https://github.com/gillesdemey/Cumulus	d:/Meus%20Sites/Jekyll-br/github.com/gillesdemey/Cumulus.html	(from https://github.com/explore)
22:29:00	99221/99221	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:29:00%20GMT	https://github.com/gillesdemey/Cumulus/stargazers	d:/Meus%20Sites/Jekyll-br/github.com/gillesdemey/Cumulus/stargazers.html	(from https://github.com/explore)
22:29:01	28551/28551	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:29:01%20GMT	https://github.com/gillesdemey/Cumulus/network	d:/Meus%20Sites/Jekyll-br/github.com/gillesdemey/Cumulus/network.html	(from https://github.com/explore)
22:29:03	120190/120190	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:29:03%20GMT	https://github.com/metabrainz/picard	d:/Meus%20Sites/Jekyll-br/github.com/metabrainz/picard.html	(from https://github.com/explore)
22:29:04	98304/98304	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:29:04%20GMT	https://github.com/metabrainz/picard/stargazers	d:/Meus%20Sites/Jekyll-br/github.com/metabrainz/picard/stargazers.html	(from https://github.com/explore)
22:29:05	27706/27706	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:29:05%20GMT	https://github.com/metabrainz/picard/network	d:/Meus%20Sites/Jekyll-br/github.com/metabrainz/picard/network.html	(from https://github.com/explore)
22:29:06	94385/94385	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:29:06%20GMT	https://github.com/overtone/overtone	d:/Meus%20Sites/Jekyll-br/github.com/overtone/overtone.html	(from https://github.com/explore)
22:29:07	98564/98564	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:29:07%20GMT	https://github.com/overtone/overtone/stargazers	d:/Meus%20Sites/Jekyll-br/github.com/overtone/overtone/stargazers.html	(from https://github.com/explore)
22:29:08	29087/29087	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:29:08%20GMT	https://github.com/overtone/overtone/network	d:/Meus%20Sites/Jekyll-br/github.com/overtone/overtone/network.html	(from https://github.com/explore)
22:29:09	120767/120767	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:29:08%20GMT	https://github.com/samaaron/sonic-pi	d:/Meus%20Sites/Jekyll-br/github.com/samaaron/sonic-pi.html	(from https://github.com/explore)
22:29:10	100466/100466	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:29:09%20GMT	https://github.com/samaaron/sonic-pi/stargazers	d:/Meus%20Sites/Jekyll-br/github.com/samaaron/sonic-pi/stargazers.html	(from https://github.com/explore)
22:29:10	29096/29096	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:29:10%20GMT	https://github.com/samaaron/sonic-pi/network	d:/Meus%20Sites/Jekyll-br/github.com/samaaron/sonic-pi/network.html	(from https://github.com/explore)
22:29:11	73148/73148	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:29:11%20GMT	https://github.com/collections/machine-learning	d:/Meus%20Sites/Jekyll-br/github.com/collections/machine-learning.html	(from https://github.com/explore)
22:29:12	294178/294178	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:29:12%20GMT	https://github.com/apache/hadoop	d:/Meus%20Sites/Jekyll-br/github.com/apache/hadoop.html	(from https://github.com/explore)
22:29:13	94543/94543	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:29:13%20GMT	https://github.com/apache/hadoop/stargazers	d:/Meus%20Sites/Jekyll-br/github.com/apache/hadoop/stargazers.html	(from https://github.com/explore)
22:29:14	26061/26061	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:29:14%20GMT	https://github.com/apache/hadoop/network	d:/Meus%20Sites/Jekyll-br/github.com/apache/hadoop/network.html	(from https://github.com/explore)
22:29:15	184695/184695	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:29:15%20GMT	https://github.com/jbhuang0604/awesome-computer-vision	d:/Meus%20Sites/Jekyll-br/github.com/jbhuang0604/awesome-computer-vision.html	(from https://github.com/explore)
22:29:16	97000/97000	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:29:16%20GMT	https://github.com/jbhuang0604/awesome-computer-vision/stargazers	d:/Meus%20Sites/Jekyll-br/github.com/jbhuang0604/awesome-computer-vision/stargazers.html	(from https://github.com/explore)
22:29:17	27807/27807	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:29:17%20GMT	https://github.com/jbhuang0604/awesome-computer-vision/network	d:/Meus%20Sites/Jekyll-br/github.com/jbhuang0604/awesome-computer-vision/network.html	(from https://github.com/explore)
22:29:18	54633/54633	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:29:18%20GMT	https://github.com/GSA/data	d:/Meus%20Sites/Jekyll-br/github.com/GSA/data.html	(from https://github.com/explore)
22:29:19	96516/96516	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:29:19%20GMT	https://github.com/GSA/data/stargazers	d:/Meus%20Sites/Jekyll-br/github.com/GSA/data/stargazers.html	(from https://github.com/explore)
22:29:20	27477/27477	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:29:20%20GMT	https://github.com/GSA/data/network	d:/Meus%20Sites/Jekyll-br/github.com/GSA/data/network.html	(from https://github.com/explore)
22:29:21	197595/197595	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:29:21%20GMT	https://github.com/GoogleTrends/data	d:/Meus%20Sites/Jekyll-br/github.com/GoogleTrends/data.html	(from https://github.com/explore)
22:29:22	97450/97450	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:29:22%20GMT	https://github.com/GoogleTrends/data/stargazers	d:/Meus%20Sites/Jekyll-br/github.com/GoogleTrends/data/stargazers.html	(from https://github.com/explore)
22:29:23	28537/28537	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:29:22%20GMT	https://github.com/GoogleTrends/data/network	d:/Meus%20Sites/Jekyll-br/github.com/GoogleTrends/data/network.html	(from https://github.com/explore)
22:29:24	60060/60060	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:29:23%20GMT	https://github.com/nationalparkservice/data	d:/Meus%20Sites/Jekyll-br/github.com/nationalparkservice/data.html	(from https://github.com/explore)
22:29:25	98506/98506	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:29:24%20GMT	https://github.com/nationalparkservice/data/stargazers	d:/Meus%20Sites/Jekyll-br/github.com/nationalparkservice/data/stargazers.html	(from https://github.com/explore)
22:29:25	28770/28770	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:29:25%20GMT	https://github.com/nationalparkservice/data/network	d:/Meus%20Sites/Jekyll-br/github.com/nationalparkservice/data/network.html	(from https://github.com/explore)
22:29:26	85920/85920	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:29:26%20GMT	https://github.com/beamandrew/medical-data	d:/Meus%20Sites/Jekyll-br/github.com/beamandrew/medical-data.html	(from https://github.com/explore)
22:29:27	101316/101316	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:29:27%20GMT	https://github.com/beamandrew/medical-data/stargazers	d:/Meus%20Sites/Jekyll-br/github.com/beamandrew/medical-data/stargazers.html	(from https://github.com/explore)
22:29:28	28755/28755	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:29:28%20GMT	https://github.com/beamandrew/medical-data/network	d:/Meus%20Sites/Jekyll-br/github.com/beamandrew/medical-data/network.html	(from https://github.com/explore)
22:29:29	142377/142377	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:29:29%20GMT	https://github.com/src-d/awesome-machine-learning-on-source-code	d:/Meus%20Sites/Jekyll-br/github.com/src-d/awesome-machine-learning-on-source-code.html	(from https://github.com/explore)
